,dc:identifier,types
0,13968,['premise']
1,66782,"['lodging', 'point_of_interest', 'establishment']"
2,37055,"['lodging', 'point_of_interest', 'establishment']"
3,60792,['street_address']
4,97764,
5,97735,
6,75227,
7,74978,"['lodging', 'point_of_interest', 'establishment']"
8,89907,"['lodging', 'point_of_interest', 'establishment']"
9,68298,"['lodging', 'point_of_interest', 'establishment']"
10,94167,"['point_of_interest', 'establishment']"
11,57109,"['lodging', 'point_of_interest', 'establishment']"
12,68477,['premise']
13,92929,"['lodging', 'point_of_interest', 'establishment']"
14,60807,
15,14595,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
16,78327,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
17,13897,['street_address']
18,78835,"['campground', 'lodging', 'park', 'real_estate_agency', 'point_of_interest', 'establishment']"
19,68385,"['real_estate_agency', 'finance', 'point_of_interest', 'establishment']"
20,56998,"['night_club', 'spa', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
21,76802,"['roofing_contractor', 'point_of_interest', 'establishment']"
22,80059,
23,91918,"['lodging', 'point_of_interest', 'establishment']"
24,68199,['premise']
25,62946,
26,45228,['street_address']
27,61610,"['lodging', 'point_of_interest', 'establishment']"
28,37001,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
29,78846,"['rv_park', 'lodging', 'point_of_interest', 'establishment']"
30,97773,['premise']
31,36995,"['point_of_interest', 'establishment']"
32,57239,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
33,72650,['premise']
34,68194,"['lodging', 'point_of_interest', 'establishment']"
35,14609,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
36,14596,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
37,89830,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
38,13955,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']"
39,14990,"['lodging', 'point_of_interest', 'establishment']"
40,98209,['premise']
41,100073,
42,68475,
43,68479,"['lodging', 'point_of_interest', 'establishment']"
44,97765,"['point_of_interest', 'establishment']"
45,70299,"['lodging', 'point_of_interest', 'establishment']"
46,92237,"['lodging', 'point_of_interest', 'establishment']"
47,60981,['subpremise']
48,15430,"['travel_agency', 'point_of_interest', 'establishment']"
49,71738,
50,37000,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
51,93729,"['lodging', 'point_of_interest', 'establishment']"
52,56988,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']"
53,68308,"['lodging', 'point_of_interest', 'establishment']"
54,68161,"['lodging', 'point_of_interest', 'establishment']"
55,100460,['premise']
56,57282,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
57,94809,"['lodging', 'point_of_interest', 'establishment']"
58,69012,"['lodging', 'point_of_interest', 'establishment']"
59,60962,
60,100072,"['lodging', 'point_of_interest', 'establishment']"
61,97778,['premise']
62,64191,['street_address']
63,94684,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
64,63971,"['lodging', 'point_of_interest', 'establishment']"
65,68476,
66,71739,
67,57161,"['lodging', 'point_of_interest', 'establishment']"
68,83847,['premise']
69,69014,"['lodging', 'point_of_interest', 'establishment']"
70,14544,"['lodging', 'point_of_interest', 'establishment']"
71,75703,"['restaurant', 'bar', 'rv_park', 'food', 'lodging', 'point_of_interest', 'establishment']"
72,13940,"['lodging', 'point_of_interest', 'establishment']"
73,68286,"['lodging', 'point_of_interest', 'establishment']"
74,68293,"['lodging', 'point_of_interest', 'establishment']"
75,14606,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
76,15530,"['lodging', 'point_of_interest', 'establishment']"
77,78710,['street_address']
78,61607,"['lodging', 'point_of_interest', 'establishment']"
79,68006,"['point_of_interest', 'establishment']"
80,60789,
81,68437,"['lodging', 'point_of_interest', 'establishment']"
82,68174,"['lodging', 'point_of_interest', 'establishment']"
83,94696,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
84,100512,['premise']
85,13964,['premise']
86,82574,"['lodging', 'point_of_interest', 'establishment']"
87,77908,"['lodging', 'point_of_interest', 'establishment']"
88,68183,['street_address']
89,75811,"['lodging', 'point_of_interest', 'establishment']"
90,82950,"['lodging', 'point_of_interest', 'establishment']"
91,68156,"['lodging', 'point_of_interest', 'establishment']"
92,68355,"['lodging', 'point_of_interest', 'establishment']"
93,93730,"['lodging', 'spa', 'point_of_interest', 'establishment']"
94,37005,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
95,68402,"['lodging', 'point_of_interest', 'establishment']"
96,14278,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
97,64265,"['lodging', 'point_of_interest', 'establishment']"
98,75226,
99,60976,
100,62442,"['lodging', 'point_of_interest', 'establishment']"
101,57061,"['lodging', 'point_of_interest', 'establishment']"
102,13911,"['lodging', 'point_of_interest', 'establishment']"
103,97761,['premise']
104,78547,
105,69017,"['lodging', 'point_of_interest', 'establishment']"
106,68444,"['lodging', 'point_of_interest', 'food', 'establishment']"
107,68473,"['lodging', 'point_of_interest', 'establishment']"
108,15418,['premise']
109,78669,
110,66087,"['lodging', 'point_of_interest', 'establishment']"
111,64323,"['lodging', 'point_of_interest', 'establishment']"
112,94863,"['lodging', 'point_of_interest', 'establishment']"
113,68187,"['lodging', 'point_of_interest', 'establishment']"
114,13862,['premise']
115,89631,"['lodging', 'point_of_interest', 'establishment']"
116,67920,"['lodging', 'point_of_interest', 'establishment']"
117,57035,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
118,60747,"['lodging', 'point_of_interest', 'establishment']"
119,68165,"['lodging', 'point_of_interest', 'establishment']"
120,68471,"['secondary_school', 'university', 'school', 'point_of_interest', 'establishment']"
121,68484,"['lodging', 'point_of_interest', 'establishment']"
122,60958,['premise']
123,68480,"['lodging', 'point_of_interest', 'establishment']"
124,94425,['street_address']
125,45248,"['lodging', 'point_of_interest', 'establishment']"
126,97770,['premise']
127,89462,"['restaurant', 'rv_park', 'lodging', 'bar', 'food', 'point_of_interest', 'establishment']"
128,69020,"['lodging', 'point_of_interest', 'establishment']"
129,78719,['street_address']
130,100102,['route']
131,60988,['street_address']
132,70332,"['point_of_interest', 'establishment']"
133,93625,
134,14540,"['lodging', 'point_of_interest', 'establishment']"
135,61615,"['lodging', 'point_of_interest', 'establishment']"
136,68301,['street_address']
137,60774,
138,96241,
139,78697,
140,97757,
141,13942,
142,100421,['premise']
143,72657,
144,13879,"['lodging', 'point_of_interest', 'establishment']"
145,89905,"['lodging', 'point_of_interest', 'establishment']"
146,78721,
147,100064,"['lodging', 'point_of_interest', 'establishment']"
148,69022,"['neighborhood', 'political']"
149,14673,
150,94689,
151,68384,"['lodging', 'point_of_interest', 'establishment']"
152,70329,"['point_of_interest', 'establishment']"
153,75204,"['lodging', 'point_of_interest', 'establishment']"
154,72689,
155,90947,
156,69008,"['lodging', 'point_of_interest', 'establishment']"
157,97550,"['lodging', 'point_of_interest', 'establishment']"
158,60787,"['lodging', 'point_of_interest', 'establishment']"
159,91921,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']"
160,57039,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
161,60983,
162,61004,
163,68441,['route']
164,72815,"['lodging', 'point_of_interest', 'establishment']"
165,68372,"['lodging', 'point_of_interest', 'establishment']"
166,78644,['premise']
167,68369,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
168,14585,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
169,60780,['premise']
170,57027,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
171,78714,['premise']
172,60783,"['lodging', 'point_of_interest', 'establishment']"
173,94697,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
174,14577,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']"
175,68179,"['restaurant', 'food', 'point_of_interest', 'establishment']"
176,70282,"['lodging', 'point_of_interest', 'establishment']"
177,57271,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
178,13869,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']"
179,13982,"['lodging', 'point_of_interest', 'establishment']"
180,70328,"['point_of_interest', 'establishment']"
181,73465,"['lodging', 'point_of_interest', 'establishment']"
182,99158,['premise']
