dc:identifier,rdfs:label.fr,schema:streetAddress,schema:addressLocality,schema:postalCode,schema:email,schema:telephone,foaf:homepage_x,schema:legalName,foaf:homepage_y,type_stream
6048882,La tour des lys,89 route de Mons,Mairieux,59600,hotellatourdeslys@orange.fr,+33 3 27 60 85 40,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048875,Hôtel le Château de la Motte,14  rue de la Motte,Liessies,59740,contact@chateaudelamotte.fr,+33 3 27 61 81 94,https://www.chateaudelamotte.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048867,B&B Hôtel Maubeuge Louvroil,48 rue de l'espérance,Louvroil,59720,hotelesperance@orange.fr,+33 3 27 58 05 04,http://www.hotel-bb.com/fr/hotels/maubeuge-louvroil.htm,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051608,La Ferme aux Charmes,5 Hameau le Quartier,Solre-le-Château,59740,fermesauxcharmes@gmail.com,+33 6 76 33 45 37 +33 9 81 95 33 87,http://la-ferme-aux-charmes.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057862,Camping la forestière,Chemin des Gardes,Preux-au-Bois,59288,laforestieredepreux@gmail.com,+33 3 27 77 34 61,https://www.campinglaforestiere.com/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051483,Aux grès de la ruelle n°4186,16 rue Kléber Delaporte,Ferrière-la-Petite,59680,gagneuxcl@orange.fr,+33 3 27 64 39 20 +33 6 33 80 50 55,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048870,Hôtel Château de la Marlière,62/64 rue Théophile Legrand,Fourmies,59610,infos@chateaudelamarliere.com,+33 3 27 58 88 00,http://chateaudelamarliere.com/?fbclid=IwAR04VcfjKo_H7OEnxM57iAStES2nKtN8vN6jvvGTHIGCX7lzwYjqLJtAXiA,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051515,"Gîte ""Aux 4 Maillet"" n°4660",2 rue de Monceau,Leval,59620,,+33 3 20 14 93 93 +33 6 79 43 58 51,https://www.gites-de-france-nord.fr/location-vacances-Gite-Leval-Aux4maillet-59G4660.html?&nbp_min=2,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051477,Aubépine,5 place du Général de Gaulle,Sains-du-Nord,59177,contact@maison-aubepine.fr,+33 3 27 66 24 23 +33 6 51 37 54 33,http://www.maison-aubepine.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048873,Hôtel Ibis,Avenue de la Gare,Maubeuge,59600,h6551@accor.com,+33 3 27 57 21 33,https://www.accorhotels.com/fr/hotel-6551-ibis-maubeuge/index.shtml,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051520,Coeur de Nature,1930 Rue des Vallées,Prisches,59550,gite.coeurdenature@gmail.com,+33 6 30 09 11 76,https://www.gites-de-france-nord-pas-de-calais.fr/location-vacances-Gite-Coeur-De-Nature-a-Prisches-59G592017.html#ferme,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057877,Les avallées,19 rue du faubourg,Villers-Sire-Nicole,59600,loisirs-les-avalees@wanadoo.fr,+33 3 27 67 92 56,http://www.loisirs-les-avallees.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057866,Camping le Fromentel,1558 route de Bavay,Gommegnies,59144,roselyne.van-meerhaeghe@orange.fr,+33 3 27 49 86 58 +33 6 11 27 51 29,http://www.campinglefromentel.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057854,Camping de la sablonnière,320 rue des sablonnières,Maroilles,59550,campingdelasablonniere@hotmail.fr,+33 3 27 84 74 52 +33 6 84 25 95 13,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057874,Camping Natura,1395 rue de Sivry,Beaurieux,59740,campingnatura@orange.fr,+33 3 27 60 51 77,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057868,Camping les Charmes,1 rue de Meaurain,Bettrechies,59570,etapedelapierrebleue@laposte.net,+33 3 27 63 16 15,https://www.location-mobilhome-bettrechies.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048874,Hôtel Ibis,Les étangs des Moines,Fourmies,59610,h0707@accor.com,+33 3 27 60 21 54,https://all.accor.com/hotel/0707/index.fr.shtml,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057858,Camping du lac Vauban,chemin de Ghissignies,Le Quesnoy,59530,camping.lequesnoy@gmail.com,+33 3 27 49 10 07 +33 6 25 90 82 77,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051476,Au repos de la Licorne,1130 rue du Sarloton,Gommegnies,59144,aureposdelalicorne@gmail.com,+33 6 08 17 96 78,https://www.aureposdelalicorne.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048879,Hôtel première classe,126 route de Valenciennes,Feignies,59750,maubeuge@premiereclasse.fr,+33 3 27 66 72 04,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057852,Camping Au Bol d'air,16 rue de Flaumont,Sémeries,59440,campingauboldair@orange.fr,+33 3 27 59 05 54 +33 6 13 59 19 66,http://www.camping-auboldair.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
