,dc:identifier,schema:geo.schema:latitude,schema:geo.schema:longitude
0,6048882,50.31262,3.977058
0,6048875,50.109731,4.076648
0,6048867,50.254793,3.936439
0,6051608,50.159654,4.100153
0,6057862,50.169082,3.667233
0,6051483,50.241117,4.021721
0,6048870,50.020099,4.040457
0,6051515,50.178229,3.830273
0,6051477,50.095618,4.011552
0,6048873,50.273199,3.969729
0,6051520,50.098779,3.763341
0,6057877,50.343331,4.031478
0,6057866,50.28199,3.719026
0,6057854,50.145899,3.766806
0,6057874,50.173405,4.147947
0,6057868,50.323398,3.744952
0,6048874,50.006324,4.064253
0,6057858,50.239783,3.635497
0,6051476,50.271667,3.707166
0,6048879,50.280084,3.909074
0,6057852,50.120264,3.996709
0,6051680,50.124668,3.903536
0,6051474,50.178317,3.830571
0,6057871,50.327021,3.770777
0,6048885,50.134475,3.695257
0,6051532,50.131403,4.103668
0,6057879,50.00578,4.06197
0,6051625,50.336288,4.012256
0,6057863,50.336181,3.796637
0,6048868,50.281831,3.955638
0,6406205,50.256086,3.999631
0,6057855,50.115866,4.164554
0,6057870,50.316662,3.83984
0,6048884,50.273095,3.972309
0,6051533,50.131403,4.103668
0,6057853,50.267884,3.670746
0,6048881,50.282254,3.971514
0,89428,50.589232,1.850497
0,86970,50.455442,1.799267
0,60246,50.761947,2.26091
0,78726,50.480925,1.585964
0,57024,50.418144,1.585754
0,14821,50.712386,2.08815
0,60193,50.705918,2.212778
0,100860,50.708186,1.808528
0,15399,50.53266,1.78342
0,79462,50.431202,2.835659
0,13405,50.503642,2.326803
0,73725,50.693775,1.670317
0,89494,50.521066,1.584543
0,74865,50.662105,1.581835
0,60230,50.705653,2.210758
0,80896,50.877686,2.083381
0,90915,50.445516,2.804432
0,13968,50.884881,1.663416
0,66782,50.290265,2.769972
0,73671,50.768733,1.608855
0,14784,50.790344,2.176736
0,15417,50.476781,1.725679
0,37055,50.801984,1.626484
0,65406,50.470543,1.747542
0,60792,50.403329,1.566536
0,79424,50.390433,2.738746
0,14682,50.664923,2.078969
0,15239,50.587663,1.809197
0,73428,50.410755,1.563112
0,14618,50.581752,2.305268
0,64163,50.578967,2.527525
0,97764,50.480284,1.580357
0,81323,50.521882,1.591245
0,79287,50.396747,1.973421
0,62449,50.403107,1.637871
0,86997,50.728014,1.613471
0,84030,50.583695,1.697934
0,80780,50.6482,1.613653
0,97735,50.4751,1.663715
0,86620,50.627529,1.928713
0,75227,50.854592,1.591661
0,45273,50.884312,1.664104
0,74978,50.75678,1.688066
0,89907,50.831156,2.092489
0,14191,50.708896,1.882012
0,14601,50.588951,2.064771
0,68298,50.249781,3.002522
0,94800,50.403107,1.637871
0,68467,50.453927,2.580967
0,14717,50.806564,2.15248
0,14284,50.747892,1.802059
0,94965,48.578545,1.99153
0,101671,50.525267,1.853735
0,75287,50.887145,1.66511
0,94167,50.402428,1.557915
0,15128,50.476939,1.606075
0,57252,50.426929,2.829269
0,57109,50.953515,1.848629
0,73707,50.765381,1.612489
0,68477,50.279757,2.774377
0,92929,50.502676,1.60469
0,14195,50.745881,1.759262
0,60807,50.406231,1.561687
0,12646,50.384028,2.001094
0,80749,50.418144,1.648129
0,14595,50.639021,2.30136
0,13856,50.682502,1.755344
0,56667,50.568379,1.615115
0,78327,50.532477,2.638915
0,14467,50.710091,1.756119
0,13897,50.823659,1.672605
0,14325,50.632543,1.578266
0,96963,50.461817,1.760897
0,96624,50.498086,1.968389
0,82635,50.409022,1.62801
0,79146,50.565681,2.029483
0,94193,50.682551,1.573198
0,77215,50.726449,1.611634
0,57186,50.707194,1.572053
0,79389,50.432148,2.836036
0,89852,50.955802,1.994674
0,89617,50.727258,1.638129
0,78677,50.481122,1.57856
0,68126,50.863954,1.590342
0,57007,50.413546,2.988346
0,98128,50.575253,1.580914
0,81317,50.520231,1.583198
0,89627,50.71888,1.616508
0,73778,50.706119,1.570359
0,57244,50.936417,1.799951
0,14689,50.736357,2.290165
0,73686,50.76802,1.609502
0,88768,50.56688,1.619872
0,77040,50.74104,1.670408
0,14192,50.725046,1.851122
0,64185,50.564234,2.488551
0,78835,50.809791,1.609673
