,dc:identifier,initial_type,rdfs:label.fr,label_clean,comment_clean,description_clean
54,13968,hotel,M. Edric Cappon,m. edric cappon,,
55,66782,hotel,L'HOTEL PARTICULIER,hotel particulier,,
59,37055,hotel,Gîte de la Slack,gîte slack,,
61,60792,hotel,MME ESTIVAN,mme estivan,,
68,97764,hotel,Lapointe Pierrick et Céline,lapointe pierrick céline,,
75,97735,hotel,Les Sapins,sapin,,
77,75227,hotel,Domaine de Waringzelle,domaine waringzelle,,
79,74978,hotel,L'AUTHENTIQUE,authentique,,
80,89907,hotel,LA PROVIDENCE,providence,,
83,68298,hotel,FERME DE L'ABBAYE,ferme abbaye,,
91,94167,hotel,Bécart Christian & Marie,bécart christian marier,,
94,57109,hotel,HOTEL METROPOL'HOTEL,hotel metropol' hotel,,
96,68477,hotel,TRIPLEX ARRAS,triplex arrer,,
97,92929,hotel,Lomamökki Insolite,lomamökki insolite,,
99,60807,hotel,RDC,rdc,,
102,14595,hotel,CAMPING DU LAC DE REBECQUES,camping lac rebecque,,
105,78327,hotel,L'Atrium,atrium,,
107,13897,hotel,Le Clos des Sarcelles,clore sarcelle,,
133,78835,hotel,AIRE SERVICE PRIVÉE CAMPING CAR,aire service priver camping car,,
134,68385,hotel,DEMEURE,demeure,,
136,56998,hotel,HOTEL L'AQUARIUM,hotel aquarium,,
137,76802,hotel,Lefebvre,lefebvre,,
139,80059,hotel,Villa les Roses,villa rose,,
149,91918,hotel,HOTEL CHEZ LEGRIS,hotel chez legris,,
155,68199,hotel,"""CHEZ TATIE DANIELLE"" LES VOLETS BLEUS",chez tatie daniell volet bleu,,
170,62946,hotel,AIRE DE SERVICE POUR CAMPING CAR,aire service camping car,,
175,45228,hotel,Le Dizacre,dizacre,,
183,61610,hotel,IBIS BUDGET TUNNEL SOUS LA MANCHE,ibis budget tunnel sou manche,,
186,37001,hotel,CAMPING DU PONT D'OYE,camping pont oye,,
190,78846,hotel,AIRE GRATUITE POUR CAMPING CAR,aire gratuit camping car,,
213,97773,hotel,Bertin Isabelle,bertin isabelle,,
217,36995,hotel,GÎTE LA FERME DU COQ AUX ANES,gîte ferme coq ane,,
233,57239,hotel,Les Jardins de L'Authie,jardin authie,,
240,72650,hotel,La Forge,forge,,
241,68194,hotel,LE CLOS VERLAINE,clos verlaine,,
249,14609,hotel,CAMPING LES MARAIS,camping marais,,
254,14596,hotel,CAMPING LE MOULIN,camping moulin,,
261,89830,hotel,Wallet Julie,wallet julie,,
262,13955,hotel,La Grange,grange,,
269,14990,hotel,La Fermette du Lac,fermette lac,,
272,98209,hotel,Bourgeois Caroline,bourgeois carolin,,
274,100073,hotel,MEUBLÉ DE TOURISME,meubler tourisme,,
277,68475,hotel,AU NU,nu,,
282,68479,hotel,DEMEURE DES BUIS,demeure buis,,
284,97765,hotel,Lefèbvre Xavier,lefèbvre xavier,,
294,70299,hotel,Chez Maxou,chez maxou,,
314,92237,hotel,LE FAIRWAY HÔTEL ET SPA GOLF D'ARRAS,fairway hôtel spa golf arrer,,
323,60981,hotel,Lievens Laurence,lieven laurence,,
328,15430,hotel,Gîte de la Vallée de la Course,gîte vallée course,,
331,71738,hotel,Haras des Graves,haras grave,,
334,37000,hotel,LES OYATS,oyat,,
337,93729,hotel,CLOS BARTHELEMY - CHATEAU D'ETERPIGNY,clore barthelemy chateau eterpigny,,
339,56988,hotel,COTTAGE HÔTEL,cottage hôtel,,
340,68308,hotel,LA GRENOUILLERE,grenouillere,,
347,68161,hotel,PLUMES ET COTON,plume coton,,
352,100460,hotel,Lefebvre Véronique,lefebvre véroniqu,,
355,57282,hotel,Camping La Paillote,camping paillote,,
361,94809,hotel,Gîte de la digue,gîte digue,,
363,69012,hotel,GITE DU CLOS DU CARPE DIEM,gite clore carpe diem,,
371,60962,hotel,Fait Daniel - logement 3,faire daniel logement,,
387,100072,hotel,MEUBLÉ DE TOURISME : La Grange,meubler tourisme grange,,
390,97778,hotel,Les Tennis,tennis,,
392,64191,hotel,LES BUISSONNETS,buissonnet,,
